Vardas         Pavarde        ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	ND10	ND11	ND12	ND13	ND14	ND15	Egz.
Vardas1        Pavarde1       7     	4     	6     	1     	1     	10    	9     	7     	5     	2     	6     	10    	9     	9     	3     	6     	
Vardas2        Pavarde2       7     	8     	6     	2     	1     	7     	7     	5     	2     	2     	2     	1     	6     	1     	1     	7     	
Vardas3        Pavarde3       4     	9     	9     	7     	9     	4     	6     	2     	1     	6     	4     	4     	6     	4     	8     	4     	
Vardas4        Pavarde4       10    	3     	7     	10    	2     	10    	9     	3     	5     	5     	4     	8     	1     	7     	1     	3     	
Vardas5        Pavarde5       8     	1     	10    	8     	6     	5     	3     	8     	1     	7     	9     	9     	5     	2     	5     	8     	
Vardas6        Pavarde6       3     	3     	6     	3     	9     	8     	3     	2     	3     	4     	3     	10    	2     	7     	5     	8     	
Vardas7        Pavarde7       6     	2     	6     	8     	2     	1     	7     	1     	2     	9     	8     	1     	2     	1     	9     	6     	
Vardas8        Pavarde8       10    	8     	9     	8     	4     	8     	7     	6     	8     	6     	5     	7     	10    	10    	6     	3     	
Vardas9        Pavarde9       6     	1     	7     	7     	1     	7     	10    	9     	7     	8     	8     	10    	9     	3     	10    	8     	
Vardas10       Pavarde10      6     	7     	1     	9     	5     	9     	4     	8     	5     	7     	10    	4     	9     	5     	2     	6     	
Vardas11       Pavarde11      5     	8     	9     	5     	2     	5     	4     	7     	10    	2     	9     	4     	3     	7     	6     	7     	
Vardas12       Pavarde12      5     	8     	5     	5     	4     	4     	2     	1     	7     	7     	6     	4     	7     	7     	9     	8     	
Vardas13       Pavarde13      2     	10    	10    	1     	6     	9     	9     	1     	2     	2     	8     	1     	7     	4     	3     	8     	
Vardas14       Pavarde14      4     	6     	10    	3     	2     	3     	1     	5     	4     	4     	4     	4     	10    	9     	6     	3     	
Vardas15       Pavarde15      4     	6     	7     	3     	8     	4     	6     	10    	9     	6     	9     	10    	10    	9     	1     	2     	
Vardas16       Pavarde16      6     	3     	8     	3     	8     	5     	4     	5     	5     	5     	4     	7     	8     	4     	2     	9     	
Vardas17       Pavarde17      10    	10    	5     	10    	4     	6     	7     	8     	4     	4     	10    	8     	7     	9     	10    	2     	
Vardas18       Pavarde18      2     	4     	7     	7     	8     	3     	2     	2     	4     	9     	8     	4     	7     	9     	7     	10    	
Vardas19       Pavarde19      1     	7     	7     	6     	5     	7     	5     	4     	10    	8     	4     	2     	1     	3     	2     	1     	
Vardas20       Pavarde20      2     	4     	8     	8     	2     	2     	10    	6     	8     	8     	10    	6     	4     	9     	10    	1     	
Vardas21       Pavarde21      2     	2     	5     	7     	8     	4     	1     	2     	2     	9     	9     	4     	3     	5     	4     	2     	
Vardas22       Pavarde22      2     	10    	1     	10    	5     	9     	9     	4     	1     	2     	3     	7     	4     	6     	1     	2     	
Vardas23       Pavarde23      10    	7     	9     	6     	10    	8     	3     	3     	3     	8     	7     	9     	1     	8     	1     	8     	
