Vardas         Pavarde        ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	ND10	ND11	ND12	ND13	ND14	ND15	Egz.
Vardas1        Pavarde1       4     	7     	10    	5     	4     	9     	8     	8     	6     	10    	3     	6     	7     	7     	4     	1     	
Vardas2        Pavarde2       2     	4     	9     	5     	4     	7     	3     	2     	4     	6     	7     	4     	7     	9     	10    	7     	
Vardas3        Pavarde3       2     	10    	9     	9     	6     	1     	3     	9     	10    	10    	1     	8     	7     	2     	3     	10    	
Vardas4        Pavarde4       1     	6     	6     	1     	1     	6     	8     	1     	3     	3     	6     	8     	2     	3     	8     	2     	
Vardas5        Pavarde5       5     	4     	4     	9     	9     	1     	3     	4     	5     	9     	4     	10    	8     	10    	9     	5     	
Vardas6        Pavarde6       9     	7     	9     	4     	5     	3     	7     	8     	9     	2     	6     	3     	5     	6     	4     	10    	
Vardas7        Pavarde7       8     	1     	6     	9     	10    	5     	10    	6     	5     	10    	7     	1     	1     	2     	8     	10    	
Vardas8        Pavarde8       5     	7     	1     	7     	9     	7     	10    	7     	4     	5     	2     	1     	6     	3     	4     	10    	
Vardas9        Pavarde9       6     	5     	1     	8     	1     	9     	9     	5     	8     	4     	8     	4     	9     	3     	2     	1     	
Vardas10       Pavarde10      3     	7     	9     	5     	1     	10    	9     	9     	6     	2     	8     	8     	4     	4     	1     	1     	
Vardas11       Pavarde11      4     	4     	7     	6     	10    	7     	10    	6     	8     	7     	4     	7     	4     	8     	1     	10    	
Vardas12       Pavarde12      8     	8     	8     	7     	5     	3     	1     	3     	6     	9     	3     	5     	1     	7     	8     	6     	
Vardas13       Pavarde13      3     	2     	6     	3     	6     	4     	4     	2     	7     	4     	8     	8     	4     	4     	10    	4     	
Vardas14       Pavarde14      1     	3     	1     	5     	5     	6     	8     	3     	1     	8     	8     	5     	6     	10    	3     	8     	
Vardas15       Pavarde15      7     	10    	4     	8     	3     	9     	1     	2     	9     	9     	4     	5     	4     	3     	7     	8     	
Vardas16       Pavarde16      6     	2     	6     	3     	1     	8     	5     	8     	5     	8     	3     	6     	8     	4     	6     	6     	
Vardas17       Pavarde17      2     	8     	2     	2     	5     	7     	5     	7     	1     	6     	9     	8     	4     	4     	6     	5     	
Vardas18       Pavarde18      1     	3     	10    	8     	1     	1     	9     	3     	2     	10    	6     	8     	6     	8     	5     	5     	
Vardas19       Pavarde19      2     	6     	1     	5     	4     	1     	8     	3     	7     	1     	1     	1     	4     	10    	3     	9     	
Vardas20       Pavarde20      6     	6     	2     	10    	2     	2     	1     	7     	9     	7     	5     	8     	2     	10    	9     	7     	
Vardas21       Pavarde21      2     	5     	1     	5     	1     	5     	1     	5     	1     	6     	8     	5     	3     	3     	5     	8     	
Vardas22       Pavarde22      4     	10    	10    	3     	5     	10    	6     	7     	7     	10    	10    	8     	8     	8     	7     	8     	
Vardas23       Pavarde23      4     	4     	1     	1     	3     	1     	1     	3     	1     	3     	3     	5     	6     	8     	4     	3     	
Vardas24       Pavarde24      5     	7     	1     	3     	1     	8     	10    	6     	9     	3     	4     	9     	5     	3     	5     	7     	
